,rapm,name,pos,events_onice
8477939,0.21179766073744552,William Nylander,R,711
8477940,0.17903886925613618,Nikolaj Ehlers,L,509
8477942,0.3424972399171049,Kevin Fiala,L,627
8477944,0.061802788441355914,Jakub Vrana,L,67
8477946,0.07919969120591355,Dylan Larkin,C,897
8477947,-0.00667026117465809,Sonny Milano,L,84
8477948,-0.312288999483243,Travis Sanheim,D,920
8477949,0.04797687087900518,Alex Tuch,R,828
8477950,0.023894623897207954,Tony DeAngelo,D,320
8477951,0.26373609022123384,Nick Schmaltz,C,805
8477952,0.08815741283009589,Robby Fabbri,C,250
8477953,0.051651974900639344,Kasperi Kapanen,R,246
8477955,0.14161898081998903,Jared McCann,L,562
8477956,0.27789349737656327,David Pastrnak,R,843
8477960,0.19983603225846705,Adrian Kempe,R,833
8477964,0.15933183984163324,Ivan Barbashev,L,338
8477969,-0.29366777269827304,Marcus Pettersson,D,825
8477971,-0.1326396818767617,Andreas Englund,D,158
8477979,0.10287020555567292,Nicolas Aube-Kubel,R,109
8477986,-0.00389904240553016,Brandon Montour,D,698
8477987,0.15755690330392907,Ryan Donato,C,448
8477989,-0.019021072421901597,Christian Dvorak,C,520
8477993,0.04856841185170405,Justin Kirkland,C,63
8477998,0.11889491437609219,Warren Foegele,L,355
8478010,0.17494083438359095,Brayden Point,C,747
8478013,-0.0906138864483862,Jake Walman,D,644
8478020,0.15076806589078615,Michael Amadio,R,379
8478021,-0.15147153066092828,William Lagesson,D,79
8478028,-0.012515647472180143,Fredrik Olofsson,L,98
8478038,-0.3063544263527531,Devon Toews,D,809
8478042,0.10040385402326864,Viktor Arvidsson,L,302
8478043,0.047311841185659766,Sam Lafferty,C,202
8478046,0.04493352920278709,Danton Heinen,L,255
8478047,0.19577898991071682,Michael Bunting,L,568
8478055,-0.26655563996791554,Gustav Forsling,D,979
8478057,0.10869751412064424,Dakota Joshua,C,317
8478078,0.006530881987269019,Rourke Chartier,C,84
8478099,0.04917598500736439,Kevin Labanc,R,75
8478104,-0.005117778269014973,Sammy Blais,L,87
8478109,0.15947051092572126,Victor Olofsson,L,276
8478115,0.15700869929713218,Pierre Engvall,L,165
8478133,-0.19479640068746715,Jake Evans,C,731
